Date,Country,Status,AQI Value
2022-07-22 00:00:00,New Zealand,Good,24.0
2022-07-22 00:00:00,Nigeria,Unhealthy For Sensitive Groups,105.0
2022-07-22 00:00:00,Norway,Moderate,63.0
2022-07-22 00:00:00,Pakistan,Moderate,91.0
2022-07-22 00:00:00,Palestinian Territory,Moderate,68.0
2022-07-22 00:00:00,Peru,Moderate,73.0
2022-07-22 00:00:00,Philippines,Moderate,83.0
2022-07-22 00:00:00,Poland,Moderate,75.0
2022-07-22 00:00:00,Portugal,Good,31.0
2022-07-22 00:00:00,Puerto Rico,Good,6.0
2022-07-22 00:00:00,Qatar,Unhealthy,183.0
2022-07-22 00:00:00,Reunion,Good,23.0
2022-07-22 00:00:00,Romania,Moderate,54.0
2022-07-22 00:00:00,Russia,Unhealthy For Sensitive Groups,106.0
2022-07-22 00:00:00,San Marino,Moderate,56.0
2022-07-22 00:00:00,Senegal,Good,33.0
2022-07-22 00:00:00,Serbia,Moderate,72.0
2022-07-22 00:00:00,Singapore,Moderate,55.0
2022-07-22 00:00:00,Slovakia,Moderate,60.0
2022-07-22 00:00:00,Slovenia,Moderate,64.0
2022-07-22 00:00:00,South Africa,Moderate,83.0
2022-07-22 00:00:00,South Korea,Moderate,75.0
2022-07-22 00:00:00,Spain,Moderate,88.0
2022-07-22 00:00:00,Sri Lanka,Moderate,62.0
2022-07-22 00:00:00,Sudan,Moderate,78.0
2022-07-22 00:00:00,Sweden,Good,48.0
2022-07-22 00:00:00,Switzerland,Good,38.0
2022-07-22 00:00:00,Taiwan,Moderate,58.0
2022-07-22 00:00:00,Tajikistan,Moderate,75.0
2022-07-22 00:00:00,Thailand,Moderate,99.0
2022-07-22 00:00:00,Togo,Moderate,72.0
2022-07-22 00:00:00,Trinidad And Tobago,Good,35.0
2022-07-22 00:00:00,Turkey,Moderate,84.0
2022-07-22 00:00:00,Turkmenistan,Good,46.0
2022-07-22 00:00:00,Uganda,Unhealthy,161.0
2022-07-22 00:00:00,Ukraine,Good,43.0
2022-07-22 00:00:00,United Arab Emirates,Moderate,83.0
2022-07-22 00:00:00,United Kingdom Of Great Britain And Northern Ireland,Good,49.0
2022-07-22 00:00:00,United States Of America,Moderate,89.0
2022-07-22 00:00:00,Uzbekistan,Moderate,98.0
2022-07-22 00:00:00,Vatican,Moderate,61.0
2022-07-22 00:00:00,Venezuela,Good,20.0
2022-07-22 00:00:00,Vietnam,Moderate,76.0
2022-07-22 00:00:00,Zambia,Good,36.0
2022-07-22 00:00:00,Andorra,Moderate,51.0
2022-07-22 00:00:00,Angola,Unhealthy For Sensitive Groups,134.0
2022-07-22 00:00:00,Argentina,Moderate,61.0
2022-07-22 00:00:00,Armenia,Moderate,57.0
2022-07-22 00:00:00,Australia,Good,45.0
2022-07-22 00:00:00,Austria,Good,46.0
2022-07-22 00:00:00,Azerbaijan,Good,20.0
2022-07-22 00:00:00,Bahrain,Unhealthy,153.0
2022-07-22 00:00:00,Belarus,Good,25.0
2022-07-22 00:00:00,Belgium,Good,37.0
2022-07-22 00:00:00,Belize,Good,20.0
2022-07-22 00:00:00,Bermuda,Good,8.0
2022-07-22 00:00:00,Bosnia And Herzegovina,Moderate,78.0
2022-07-22 00:00:00,Brazil,Unhealthy For Sensitive Groups,111.0
2022-07-22 00:00:00,Brunei,Good,16.0
2022-07-22 00:00:00,Bulgaria,Good,39.0
2022-07-22 00:00:00,Burkina Faso,Unhealthy,163.0
2022-07-22 00:00:00,Canada,Moderate,63.0
2022-07-22 00:00:00,Cape Verde,Good,46.0
2022-07-22 00:00:00,Cayman Islands,Good,9.0
2022-07-22 00:00:00,Central African Republic,Unhealthy For Sensitive Groups,118.0
2022-07-22 00:00:00,Chad,Unhealthy For Sensitive Groups,109.0
2022-07-22 00:00:00,Chile,Unhealthy,165.0
2022-07-22 00:00:00,China,Unhealthy,155.0
2022-07-22 00:00:00,Costa Rica,Good,36.0
2022-07-22 00:00:00,Croatia,Good,37.0
2022-07-22 00:00:00,Cyprus,Good,48.0
2022-07-22 00:00:00,Czech Republic,Moderate,79.0
2022-07-22 00:00:00,Denmark,Good,17.0
2022-07-22 00:00:00,Dominican Republic,Good,19.0
2022-07-22 00:00:00,Ecuador,Moderate,68.0
2022-07-22 00:00:00,El Salvador,Moderate,77.0
2022-07-22 00:00:00,Estonia,Good,23.0
2022-07-22 00:00:00,Ethiopia,Unhealthy For Sensitive Groups,132.0
2022-07-22 00:00:00,Finland,Good,47.0
2022-07-22 00:00:00,France,Moderate,65.0
2022-07-22 00:00:00,French Guiana,Good,8.0
2022-07-22 00:00:00,Gabon,Unhealthy For Sensitive Groups,123.0
2022-07-22 00:00:00,Gambia,Good,38.0
2022-07-22 00:00:00,Georgia,Good,35.0
2022-07-22 00:00:00,Germany,Moderate,61.0
2022-07-22 00:00:00,Ghana,Unhealthy For Sensitive Groups,108.0
2022-07-22 00:00:00,Gibraltar,Good,46.0
2022-07-22 00:00:00,Greece,Moderate,54.0
2022-07-22 00:00:00,Grenada,Good,28.0
2022-07-22 00:00:00,Guadeloupe,Good,33.0
2022-07-22 00:00:00,Guam,Good,1.0
2022-07-22 00:00:00,Guatemala,Good,44.0
2022-07-22 00:00:00,Honduras,Good,30.0
2022-07-22 00:00:00,Hong Kong,Moderate,67.0
2022-07-22 00:00:00,Hungary,Good,46.0
2022-07-22 00:00:00,Iceland,Good,12.0
2022-07-22 00:00:00,India,Unhealthy,160.0
2022-07-22 00:00:00,Iran,Unhealthy,153.0
2022-07-22 00:00:00,Iraq,Very Unhealthy,289.0
2022-07-22 00:00:00,Ireland,Good,20.0
2022-07-22 00:00:00,Israel,Unhealthy For Sensitive Groups,118.0
2022-07-22 00:00:00,Italy,Unhealthy For Sensitive Groups,106.0
2022-07-22 00:00:00,Ivory Coast,Good,46.0
2022-07-22 00:00:00,Japan,Moderate,94.0
2022-07-22 00:00:00,Jersey,Good,33.0
2022-07-22 00:00:00,Jordan,Good,25.0
2022-07-22 00:00:00,Kazakhstan,Moderate,62.0
2022-07-22 00:00:00,Kenya,Moderate,65.0
2022-07-22 00:00:00,Kosovo,Good,50.0
2022-07-22 00:00:00,Kuwait,Unhealthy,181.0
2022-07-22 00:00:00,Kyrgyzstan,Good,39.0
2022-07-22 00:00:00,Laos,Good,12.0
2022-07-22 00:00:00,Latvia,Good,28.0
2022-07-22 00:00:00,Liberia,Good,3.0
2022-07-22 00:00:00,Liechtenstein,Good,21.0
2022-07-22 00:00:00,Lithuania,Good,34.0
2022-07-22 00:00:00,Luxembourg,Good,46.0
2022-07-22 00:00:00,Macao,Moderate,59.0
2022-07-22 00:00:00,Macedonia,Moderate,56.0
2022-07-22 00:00:00,Madagascar,Good,39.0
2022-07-22 00:00:00,Malta,Moderate,76.0
2022-07-22 00:00:00,Martinique,Moderate,53.0
2022-07-22 00:00:00,Mexico,Moderate,82.0
2022-07-22 00:00:00,Moldova,Good,11.0
2022-07-22 00:00:00,Monaco,Good,45.0
2022-07-22 00:00:00,Mongolia,Good,37.0
2022-07-22 00:00:00,Montenegro,Moderate,51.0
2022-07-22 00:00:00,Myanmar,Good,27.0
2022-07-22 00:00:00,Nepal,Good,48.0
2022-07-22 00:00:00,Netherlands,Good,28.0
2022-07-22 00:00:00,New Caledonia,Good,4.0
2022-07-22 00:00:00,New Zealand,Good,34.0
2022-07-22 00:00:00,Norway,Good,31.0
2022-07-22 00:00:00,Palestinian Territory,Moderate,76.0
2022-07-22 00:00:00,Peru,Unhealthy For Sensitive Groups,113.0
2022-07-22 00:00:00,Poland,Moderate,76.0
2022-07-22 00:00:00,Portugal,Good,28.0
2022-07-22 00:00:00,Puerto Rico,Good,28.0
2022-07-22 00:00:00,Reunion,Good,25.0
2022-07-22 00:00:00,Romania,Moderate,55.0
2022-07-22 00:00:00,Russia,Moderate,59.0
2022-07-22 00:00:00,Serbia,Moderate,71.0
2022-07-22 00:00:00,Singapore,Good,36.0
2022-07-22 00:00:00,Slovakia,Moderate,63.0
2022-07-22 00:00:00,Slovenia,Moderate,67.0
2022-07-22 00:00:00,South Korea,Moderate,84.0
2022-07-22 00:00:00,Spain,Moderate,86.0
2022-07-22 00:00:00,Sri Lanka,Moderate,54.0
2022-07-22 00:00:00,Sudan,Moderate,53.0
2022-07-22 00:00:00,Sweden,Good,33.0
2022-07-22 00:00:00,Switzerland,Good,28.0
2022-07-22 00:00:00,Taiwan,Moderate,72.0
2022-07-22 00:00:00,Tajikistan,Moderate,83.0
2022-07-22 00:00:00,Thailand,Moderate,72.0
